Date Nombre_de_faillites
1995-T1 1731
1995-T2 1338
1995-T3 1190
1995-T4 1643
1996-T1 1690
1996-T2 1542
1996-T3 1230
1996-T4 1598
1997-T1 1696
1997-T2 1670
1997-T3 1294
1997-T4 1540
1998-T1 1435
1998-T2 1168
1998-T3 1007
1998-T4 1385
1999-T1 1451
1999-T2 1251
1999-T3 894
1999-T4 1333
2000-T1 1222
2000-T2 886
2000-T3 814
2000-T4 1176
2001-T1 635
2001-T2 1164
2001-T3 828
2001-T4 1439
2002-T1 1161
2002-T2 1326
2002-T3 935
2002-T4 1318
2003-T1 1499
2003-T2 1099
2003-T3 907
2003-T4 1367
2004-T1 1301
2004-T2 1168
2004-T3 924
2004-T4 1274
2005-T1 1357
2005-T2 1235
2005-T3 855
2005-T4 1189
2006-T1 964
2006-T2 900
2006-T3 699
2006-T4 1063
2007-T1 1195
2007-T2 1039
2007-T3 743
2007-T4 1153
2008-T1 1050
2008-T2 1035
2008-T3 767
2008-T4 1347
2009-T1 1136
2009-T2 1136
2009-T3 955
2009-T4 1243
2010-T1 1162
2010-T2 1033
2010-T3 836
2010-T4 1006
2011-T1 1039
2011-T2 884
2011-T3 761
2011-T4 1009
2012-T1 946
2012-T2 1001
2012-T3 738
2012-T4 1041
2013-T1 1078
2013-T2 1028
2013-T3 819
2013-T4 1188
2014-T1 1106
2014-T2 918
2014-T3 861
2014-T4 992
2015-T1 1138
2015-T2 1019
2015-T3 731
2015-T4 1011
2016-T1 1087
2016-T2 1119
2016-T3 668
2016-T4 1087
2017-T1 998
2017-T2 883
2017-T3 711
2017-T4 959
2018-T1 880
2018-T2 841
2018-T3 634
2018-T4 1016
2019-T1 869
2019-T2 868
2019-T3 640
2019-T4 907
2020-T1 700
2020-T2 354
2020-T3 565
2020-T4 708
2021-T1 618
2021-T2 491
2021-T3 393
2021-T4 563
